vehicle_id,timestamp_lend,lng_lend,lat_lend,timestamp_returned,lng_returned,lat_returned,current_range_meters_lend,pedelec_battery_lend,pedelec_battery_returned,current_range_meters_returned
4005,2024-03-03 00:00:00+00:00,8.679,49.3864,2024-03-03 00:06:00+00:00,8.6905,49.3861,23000,57,54,21000
5696,2024-03-03 00:12:00+00:00,8.6858,49.4035,2024-03-03 00:27:00+00:00,8.6766,49.4213,10000,33,26,6000
8988,2024-03-03 00:18:00+00:00,8.6942,49.4077,2024-03-03 00:30:00+00:00,8.6813,49.4029,6000,25,20,3000
9597,2024-03-03 00:18:00+00:00,8.6889,49.4001,2024-03-03 00:27:00+00:00,8.6778,49.404,43000,94,91,41000
11586,2024-03-03 00:18:00+00:00,8.6891,49.4001,2024-03-03 00:24:00+00:00,8.6777,49.404,13000,38,38,13000
10170,2024-03-03 00:21:00+00:00,8.6911,49.4017,2024-03-03 00:33:00+00:00,8.7085,49.4112,6000,25,22,4000
5088,2024-03-03 00:24:00+00:00,8.6479,49.4202,2024-03-03 00:51:00+00:00,8.7054,49.4129,23000,57,43,16000
3954,2024-03-03 00:27:00+00:00,8.639,49.4053,2024-03-03 00:33:00+00:00,8.6465,49.4011,19000,50,48,18000
513,2024-03-03 00:27:00+00:00,8.688,49.4143,2024-03-03 00:33:00+00:00,8.6912,49.4148,5000,23,23,5000
924,2024-03-03 00:30:00+00:00,8.6923,49.407,2024-03-03 00:39:00+00:00,8.6878,49.3946,20000,51,49,19000
2910,2024-03-03 00:33:00+00:00,8.6938,49.4092,2024-03-03 00:42:00+00:00,8.7057,49.4114,10000,32,29,8000
12165,2024-03-03 00:33:00+00:00,8.6914,49.4077,2024-03-03 00:39:00+00:00,8.6856,49.4053,14000,40,40,14000
1420,2024-03-03 00:33:00+00:00,8.6933,49.4091,2024-03-03 00:45:00+00:00,8.7119,49.4112,15000,42,33,10000
10664,2024-03-03 00:33:00+00:00,8.6903,49.4087,2024-03-03 00:42:00+00:00,8.7053,49.4114,8000,29,26,6000
11349,2024-03-03 00:51:00+00:00,8.6938,49.4087,2024-03-03 00:57:00+00:00,8.6897,49.414,9000,30,30,9000
513,2024-03-03 01:00:00+00:00,8.6918,49.4147,2024-03-03 01:06:00+00:00,8.6887,49.4139,4000,22,22,4000
513,2024-03-03 01:06:00+00:00,8.6887,49.4139,2024-03-03 01:12:00+00:00,8.6886,49.4139,4000,22,21,4000
10170,2024-03-03 01:06:00+00:00,8.7086,49.4112,2024-03-03 01:15:00+00:00,8.6903,49.4057,3000,19,16,1000
11342,2024-03-03 01:09:00+00:00,8.6513,49.3975,2024-03-03 01:15:00+00:00,8.6502,49.4015,14000,41,41,14000
4778,2024-03-03 01:09:00+00:00,8.6933,49.4102,2024-03-03 01:21:00+00:00,8.6827,49.4318,44000,97,90,41000
12513,2024-03-03 01:12:00+00:00,8.7047,49.4088,2024-03-03 01:51:00+00:00,8.6876,49.3742,21000,54,43,16000
7062,2024-03-03 01:15:00+00:00,8.6392,49.405,2024-03-03 01:33:00+00:00,8.6342,49.4369,24000,58,50,19000
10170,2024-03-03 01:15:00+00:00,8.6903,49.4057,2024-03-04 00:45:00+00:00,8.69,49.4055,1000,16,100,46000
3954,2024-03-03 01:18:00+00:00,8.6466,49.401,2024-03-03 01:24:00+00:00,8.6469,49.4022,17000,45,45,17000
12179,2024-03-03 01:21:00+00:00,8.6747,49.4086,2024-03-03 01:33:00+00:00,8.6519,49.4198,20000,52,48,18000
1644,2024-03-03 01:21:00+00:00,8.6688,49.4127,2024-03-03 01:36:00+00:00,8.6925,49.402,43000,95,90,41000
12468,2024-03-03 01:21:00+00:00,8.7066,49.413,2024-03-03 01:36:00+00:00,8.7059,49.4133,35000,80,79,35000
2592,2024-03-03 01:24:00+00:00,8.6889,49.4197,2024-03-03 01:33:00+00:00,8.6627,49.4188,9000,30,26,6000
3954,2024-03-03 01:24:00+00:00,8.6469,49.4022,2024-03-03 01:30:00+00:00,8.6403,49.4051,17000,45,44,16000
12259,2024-03-03 01:27:00+00:00,8.6921,49.4168,2024-03-03 01:39:00+00:00,8.6849,49.4304,42000,92,91,41000
7817,2024-03-03 01:30:00+00:00,8.7126,49.4165,2024-03-03 01:51:00+00:00,8.7126,49.4165,19000,49,49,19000
5183,2024-03-03 01:33:00+00:00,8.6427,49.3956,2024-03-03 01:48:00+00:00,8.6415,49.4112,9000,30,27,7000
6783,2024-03-03 01:45:00+00:00,8.7019,49.4107,2024-03-03 01:57:00+00:00,8.6809,49.4023,21000,54,51,20000
4075,2024-03-03 01:45:00+00:00,8.7135,49.4159,2024-03-03 02:03:00+00:00,8.7135,49.4159,40000,89,89,40000
6153,2024-03-03 01:48:00+00:00,8.7136,49.4159,2024-03-03 02:00:00+00:00,8.6873,49.4188,16000,43,38,13000
12685,2024-03-03 01:51:00+00:00,8.6781,49.4171,2024-03-03 08:51:00+00:00,8.6763,49.4176,1000,16,100,46000
6298,2024-03-03 01:51:00+00:00,8.6689,49.4128,2024-03-03 01:57:00+00:00,8.6767,49.4115,10000,32,32,10000
12615,2024-03-03 01:57:00+00:00,8.6408,49.4021,2024-03-03 02:06:00+00:00,8.6475,49.3968,2000,17,16,1000
8864,2024-03-03 02:12:00+00:00,8.694,49.4077,2024-03-03 02:18:00+00:00,8.6778,49.4077,41000,91,87,39000
10664,2024-03-03 02:21:00+00:00,8.7058,49.4111,2024-03-05 21:21:00+00:00,8.7061,49.4107,4000,22,100,46000
6862,2024-03-03 02:21:00+00:00,8.6954,49.4092,2024-03-03 02:27:00+00:00,8.7065,49.4109,46000,100,100,46000
10216,2024-03-03 02:27:00+00:00,8.6875,49.4095,2024-03-03 02:36:00+00:00,8.6764,49.4045,46000,100,98,45000
11586,2024-03-03 02:33:00+00:00,8.6778,49.404,2024-03-03 02:48:00+00:00,8.7169,49.4139,11000,35,26,6000
5066,2024-03-03 02:36:00+00:00,8.6425,49.3933,2024-03-03 02:48:00+00:00,8.6511,49.3987,12000,37,33,10000
1157,2024-03-03 02:39:00+00:00,8.6769,49.3948,2024-03-03 02:51:00+00:00,8.6756,49.3776,18000,48,38,13000
124,2024-03-03 02:57:00+00:00,8.663,49.4036,2024-03-03 03:09:00+00:00,8.6685,49.4014,19000,50,48,18000
8881,2024-03-03 03:00:00+00:00,8.6767,49.3741,2024-03-07 02:36:00+00:00,8.669,49.4047,1000,16,90,41000
2919,2024-03-03 03:06:00+00:00,8.6817,49.434,2024-03-03 10:57:00+00:00,8.6823,49.4339,1000,16,100,46000
11867,2024-03-03 03:09:00+00:00,8.6783,49.3964,2024-03-03 03:21:00+00:00,8.6933,49.378,29000,68,62,26000
7468,2024-03-03 03:27:00+00:00,8.6415,49.4123,2024-03-03 03:33:00+00:00,8.6389,49.4075,11000,35,34,11000
4881,2024-03-03 03:27:00+00:00,8.675,49.4029,2024-03-03 03:36:00+00:00,8.6681,49.4016,8000,28,27,7000
8160,2024-03-03 03:33:00+00:00,8.6807,49.3991,2024-03-03 04:00:00+00:00,8.6886,49.3624,10000,33,21,4000
5560,2024-03-03 03:42:00+00:00,8.6918,49.4002,2024-03-04 00:57:00+00:00,8.6917,49.4004,1000,16,100,46000
12486,2024-03-03 03:45:00+00:00,8.6467,49.4285,2024-03-03 04:03:00+00:00,8.6392,49.4016,29000,68,58,24000
3294,2024-03-03 03:54:00+00:00,8.6867,49.3787,2024-03-03 04:12:00+00:00,8.6955,49.4088,27000,65,54,21000
8864,2024-03-03 03:54:00+00:00,8.6778,49.408,2024-03-03 04:00:00+00:00,8.6768,49.4147,39000,87,86,39000
10216,2024-03-03 04:00:00+00:00,8.6762,49.4045,2024-03-03 04:06:00+00:00,8.6856,49.4018,43000,95,95,43000
12757,2024-03-03 04:30:00+00:00,8.7092,49.4133,2024-03-03 04:39:00+00:00,8.6935,49.4099,11000,34,28,8000
9597,2024-03-03 04:33:00+00:00,8.6777,49.404,2024-03-03 04:42:00+00:00,8.6918,49.4029,41000,91,88,40000
11694,2024-03-03 04:42:00+00:00,8.6758,49.4025,2024-03-03 04:51:00+00:00,8.6823,49.3958,20000,52,48,18000
6862,2024-03-03 04:42:00+00:00,8.7067,49.4109,2024-03-03 05:12:00+00:00,8.6853,49.3994,44000,96,91,41000
2273,2024-03-03 04:45:00+00:00,8.6799,49.4355,2024-03-03 04:54:00+00:00,8.6845,49.4236,20000,51,48,18000
11616,2024-03-03 04:51:00+00:00,8.6821,49.3796,2024-03-03 05:00:00+00:00,8.6867,49.3902,32000,73,72,31000
5090,2024-03-03 04:54:00+00:00,8.6759,49.405,2024-03-03 05:09:00+00:00,8.6677,49.4177,8000,29,23,5000
2910,2024-03-03 04:57:00+00:00,8.706,49.4112,2024-03-03 05:03:00+00:00,8.706,49.4112,6000,26,26,6000
10760,2024-03-03 05:06:00+00:00,8.6429,49.4217,2024-03-04 03:36:00+00:00,8.6429,49.4217,1000,16,100,46000
9369,2024-03-03 05:18:00+00:00,8.6825,49.3963,2024-03-03 05:24:00+00:00,8.6825,49.3963,12000,36,36,12000
10190,2024-03-03 05:18:00+00:00,8.6817,49.4341,2024-03-03 05:24:00+00:00,8.6817,49.4341,43000,94,94,43000
5877,2024-03-03 05:21:00+00:00,8.7104,49.4133,2024-03-03 05:39:00+00:00,8.6764,49.4045,40000,88,79,35000
7500,2024-03-03 05:27:00+00:00,8.6853,49.4174,2024-03-03 05:36:00+00:00,8.6872,49.4083,41000,91,87,39000
7556,2024-03-03 05:42:00+00:00,8.7197,49.415,2024-03-03 05:57:00+00:00,8.7609,49.4154,22000,56,46,17000
11424,2024-03-03 05:48:00+00:00,8.6907,49.4094,2024-03-03 05:54:00+00:00,8.6907,49.4094,26000,62,62,26000
8303,2024-03-03 06:03:00+00:00,8.6328,49.4375,2024-03-03 06:09:00+00:00,8.6328,49.4375,26000,62,62,26000
