vehicle_id,timestamp_lend,lng_lend,lat_lend,timestamp_returned,lng_returned,lat_returned,current_range_meters_lend,pedelec_battery_lend,pedelec_battery_returned,current_range_meters_returned
10304,2024-03-02 00:03:00+00:00,8.6922,49.4006,2024-03-02 00:12:00+00:00,8.6795,49.4058,4000,22,20,3000
1021,2024-03-02 00:15:00+00:00,8.6838,49.4167,2024-03-02 00:21:00+00:00,8.6928,49.4102,22000,55,52,20000
8303,2024-03-02 00:15:00+00:00,8.6469,49.4325,2024-03-02 00:24:00+00:00,8.6328,49.4375,31000,72,68,29000
11832,2024-03-02 00:18:00+00:00,8.6799,49.3972,2024-03-02 00:27:00+00:00,8.6874,49.3867,13000,39,34,11000
5560,2024-03-02 00:27:00+00:00,8.7058,49.4127,2024-03-02 00:48:00+00:00,8.6889,49.4264,22000,56,48,18000
7261,2024-03-02 00:27:00+00:00,8.6646,49.3839,2024-03-02 00:36:00+00:00,8.6652,49.3758,14000,40,38,13000
9533,2024-03-02 00:33:00+00:00,8.7054,49.4132,2024-03-03 10:12:00+00:00,8.6893,49.4218,2000,17,100,46000
4134,2024-03-02 00:33:00+00:00,8.6663,49.3868,2024-03-02 00:42:00+00:00,8.6623,49.3896,6000,26,23,5000
4622,2024-03-02 00:36:00+00:00,8.6774,49.4037,2024-03-02 01:36:00+00:00,8.684,49.3981,33000,75,72,31000
4531,2024-03-02 00:36:00+00:00,8.6487,49.4284,2024-03-03 16:15:00+00:00,8.6489,49.4284,1000,16,10,0
1569,2024-03-02 00:45:00+00:00,8.6742,49.3982,2024-03-02 00:51:00+00:00,8.6824,49.3951,18000,47,44,16000
11616,2024-03-02 00:48:00+00:00,8.6892,49.3985,2024-03-02 01:06:00+00:00,8.6871,49.414,12000,37,29,8000
9728,2024-03-02 00:48:00+00:00,8.6941,49.4076,2024-03-02 00:57:00+00:00,8.6787,49.4077,21000,54,50,19000
6903,2024-03-02 00:51:00+00:00,8.7022,49.4102,2024-03-03 09:24:00+00:00,8.7042,49.4109,1000,16,100,46000
831,2024-03-02 00:54:00+00:00,8.7018,49.4094,2024-03-02 01:03:00+00:00,8.6918,49.4039,15000,42,39,13000
9369,2024-03-02 01:00:00+00:00,8.6888,49.398,2024-03-02 01:06:00+00:00,8.6824,49.3963,14000,41,38,13000
4881,2024-03-02 01:12:00+00:00,8.6918,49.4069,2024-03-02 01:24:00+00:00,8.673,49.4023,26000,62,60,25000
6485,2024-03-02 01:18:00+00:00,8.7061,49.4096,2024-03-02 01:27:00+00:00,8.6893,49.4056,4000,22,19,3000
8855,2024-03-02 01:21:00+00:00,8.6433,49.4295,2024-03-02 01:39:00+00:00,8.6389,49.4076,39000,87,79,35000
11681,2024-03-02 01:21:00+00:00,8.6836,49.4098,2024-03-02 16:12:00+00:00,8.6836,49.4098,1000,16,100,46000
7360,2024-03-02 01:24:00+00:00,8.6784,49.3988,2024-03-02 07:30:00+00:00,8.6784,49.3988,37000,83,82,36000
319,2024-03-02 01:27:00+00:00,8.6776,49.4047,2024-03-02 01:45:00+00:00,8.6857,49.3824,37000,84,74,32000
9728,2024-03-02 01:33:00+00:00,8.6782,49.4079,2024-03-02 01:45:00+00:00,8.6837,49.4253,19000,49,45,17000
1420,2024-03-02 01:36:00+00:00,8.7015,49.4124,2024-03-02 01:48:00+00:00,8.6906,49.3997,27000,65,61,25000
8110,2024-03-02 01:39:00+00:00,8.6457,49.3956,2024-03-03 15:57:00+00:00,8.6433,49.3938,1000,16,100,46000
1430,2024-03-02 01:48:00+00:00,8.6708,49.4067,2024-03-02 01:57:00+00:00,8.6707,49.4067,8000,29,27,7000
1855,2024-03-02 01:51:00+00:00,8.669,49.4128,2024-03-02 02:00:00+00:00,8.6902,49.4138,25000,60,54,21000
124,2024-03-02 01:51:00+00:00,8.6896,49.4239,2024-03-02 01:57:00+00:00,8.6892,49.4244,27000,64,64,27000
2411,2024-03-02 01:51:00+00:00,8.669,49.4126,2024-03-02 02:00:00+00:00,8.6901,49.4135,34000,78,72,31000
3280,2024-03-02 01:57:00+00:00,8.6885,49.4278,2024-03-02 02:03:00+00:00,8.6901,49.4298,6000,25,25,6000
7248,2024-03-02 02:03:00+00:00,8.7017,49.4094,2024-03-02 02:15:00+00:00,8.6807,49.4023,17000,45,42,15000
12823,2024-03-02 02:03:00+00:00,8.6714,49.4061,2024-03-02 02:09:00+00:00,8.6714,49.4061,31000,71,71,31000
3671,2024-03-02 02:06:00+00:00,8.6924,49.4028,2024-03-05 11:06:00+00:00,8.6915,49.4027,1000,16,100,46000
4617,2024-03-02 02:12:00+00:00,8.7028,49.4109,2024-03-02 02:21:00+00:00,8.6927,49.4084,6000,26,22,4000
3337,2024-03-02 02:21:00+00:00,8.7067,49.4115,2024-03-02 02:30:00+00:00,8.6941,49.4088,3000,20,18,2000
4463,2024-03-02 02:21:00+00:00,8.6894,49.4144,2024-03-02 02:33:00+00:00,8.6765,49.4043,14000,41,34,11000
11986,2024-03-02 02:24:00+00:00,8.6857,49.3923,2024-03-03 13:24:00+00:00,8.6842,49.3933,1000,16,100,46000
2381,2024-03-02 02:33:00+00:00,8.693,49.406,2024-03-02 02:39:00+00:00,8.6896,49.4018,10000,33,31,9000
924,2024-03-02 02:36:00+00:00,8.7057,49.4088,2024-03-02 02:51:00+00:00,8.6831,49.4004,32000,73,70,30000
5399,2024-03-02 02:39:00+00:00,8.6827,49.4375,2024-03-02 02:45:00+00:00,8.6827,49.4375,15000,42,42,15000
3101,2024-03-02 02:51:00+00:00,8.6819,49.3904,2024-03-03 13:00:00+00:00,8.6821,49.3902,1000,16,100,46000
12105,2024-03-02 02:51:00+00:00,8.6724,49.3977,2024-03-02 02:57:00+00:00,8.6725,49.3978,23000,57,57,23000
6273,2024-03-02 02:54:00+00:00,8.6475,49.4035,2024-03-02 03:00:00+00:00,8.6473,49.3984,32000,73,72,31000
5068,2024-03-02 02:54:00+00:00,8.688,49.4057,2024-03-02 03:00:00+00:00,8.6865,49.4007,22000,56,55,22000
8596,2024-03-02 02:57:00+00:00,8.6627,49.3842,2024-03-02 03:03:00+00:00,8.6627,49.3842,34000,78,78,34000
