vehicle_id,timestamp_lend,lng_lend,lat_lend,timestamp_returned,lng_returned,lat_returned,current_range_meters_lend,pedelec_battery_lend,pedelec_battery_returned,current_range_meters_returned
5183,2024-03-07 00:09:00+00:00,8.6776,49.4003,2024-03-07 00:24:00+00:00,8.706,49.4125,43000,95,86,39000
6572,2024-03-07 00:09:00+00:00,8.6544,49.4083,2024-03-07 00:15:00+00:00,8.6415,49.4123,14000,41,38,13000
9025,2024-03-07 00:12:00+00:00,8.6765,49.415,2024-03-07 08:48:00+00:00,8.6762,49.4148,1000,16,14,0
3298,2024-03-07 00:18:00+00:00,8.6781,49.4081,2024-03-07 00:33:00+00:00,8.6448,49.3948,21000,54,47,18000
5359,2024-03-07 00:21:00+00:00,8.67,49.3995,2024-03-07 00:33:00+00:00,8.6384,49.4013,25000,61,56,22000
8951,2024-03-07 00:42:00+00:00,8.7187,49.4092,2024-03-07 02:18:00+00:00,8.7187,49.4095,29000,69,69,29000
7986,2024-03-07 00:42:00+00:00,8.6927,49.408,2024-03-07 00:54:00+00:00,8.6826,49.429,24000,58,53,21000
1190,2024-03-07 00:45:00+00:00,8.69,49.415,2024-03-07 00:54:00+00:00,8.6879,49.4245,5000,23,20,3000
5526,2024-03-07 00:51:00+00:00,8.6861,49.4093,2024-03-07 01:00:00+00:00,8.7068,49.4128,31000,72,69,29000
829,2024-03-07 00:54:00+00:00,8.6639,49.4042,2024-03-07 01:00:00+00:00,8.6724,49.4061,18000,48,48,18000
2910,2024-03-07 01:06:00+00:00,8.6621,49.416,2024-03-07 02:03:00+00:00,8.6928,49.3463,38000,85,50,19000
10575,2024-03-07 01:09:00+00:00,8.6443,49.4119,2024-03-07 04:30:00+00:00,8.6445,49.4119,33000,75,75,33000
2486,2024-03-07 01:21:00+00:00,8.6764,49.4183,2024-03-07 01:30:00+00:00,8.6729,49.4089,38000,85,81,36000
3565,2024-03-07 01:51:00+00:00,8.6823,49.4327,2024-03-07 02:09:00+00:00,8.6766,49.4422,41000,91,86,39000
1021,2024-03-07 01:54:00+00:00,8.6825,49.4318,2024-03-07 02:09:00+00:00,8.6766,49.442,44000,96,92,42000
2434,2024-03-07 02:00:00+00:00,8.6716,49.3753,2024-03-07 02:15:00+00:00,8.6723,49.3773,5000,24,18,2000
5359,2024-03-07 02:12:00+00:00,8.634,49.401,2024-03-07 02:18:00+00:00,8.6474,49.4012,21000,54,51,20000
6907,2024-03-07 02:30:00+00:00,8.6698,49.4063,2024-03-07 02:36:00+00:00,8.6691,49.4045,41000,90,90,41000
12165,2024-03-07 02:36:00+00:00,8.6851,49.3982,2024-03-07 02:45:00+00:00,8.6767,49.404,43000,95,95,43000
80,2024-03-07 02:36:00+00:00,8.7163,49.4135,2024-03-07 02:54:00+00:00,8.6764,49.4045,18000,47,37,12000
9654,2024-03-07 02:39:00+00:00,8.6748,49.4032,2024-03-07 02:45:00+00:00,8.6824,49.3963,24000,59,55,22000
10640,2024-03-07 02:57:00+00:00,8.7163,49.4136,2024-03-07 03:15:00+00:00,8.6767,49.4046,41000,90,80,35000
4237,2024-03-07 03:09:00+00:00,8.6864,49.3922,2024-03-07 03:18:00+00:00,8.675,49.4073,6000,26,21,4000
4531,2024-03-07 03:36:00+00:00,8.6488,49.4284,2024-03-07 05:27:00+00:00,8.6486,49.4285,42000,93,92,42000
11589,2024-03-07 03:36:00+00:00,8.659,49.3786,2024-03-07 03:54:00+00:00,8.6757,49.4025,35000,79,71,31000
11005,2024-03-07 03:57:00+00:00,8.6874,49.3794,2024-03-07 04:12:00+00:00,8.694,49.408,32000,74,63,26000
5933,2024-03-07 04:24:00+00:00,8.6855,49.3789,2024-03-07 04:30:00+00:00,8.6761,49.3806,21000,53,51,20000
6972,2024-03-07 04:27:00+00:00,8.6507,49.3962,2024-03-07 04:45:00+00:00,8.6788,49.3838,31000,72,60,25000
10067,2024-03-07 04:36:00+00:00,8.682,49.3901,2024-03-07 04:42:00+00:00,8.6804,49.3843,3000,19,19,3000
2842,2024-03-07 04:36:00+00:00,8.6487,49.3972,2024-03-07 04:51:00+00:00,8.6748,49.3789,18000,48,38,13000
7248,2024-03-07 04:42:00+00:00,8.6781,49.3816,2024-03-07 04:51:00+00:00,8.6658,49.3775,13000,39,37,12000
