vehicle_id,timestamp_lend,lng_lend,lat_lend,timestamp_returned,lng_returned,lat_returned,current_range_meters_lend,pedelec_battery_lend,pedelec_battery_returned,current_range_meters_returned
7194,2024-03-01 00:06:00+00:00,8.6419,49.4125,2024-03-01 00:12:00+00:00,8.6419,49.4125,37000,83,83,37000
12078,2024-03-01 00:06:00+00:00,8.6893,49.4137,2024-03-01 00:15:00+00:00,8.6801,49.4233,46000,100,98,45000
2719,2024-03-01 00:06:00+00:00,8.6541,49.4061,2024-03-01 00:15:00+00:00,8.668,49.4013,39000,87,84,37000
10122,2024-03-01 00:09:00+00:00,8.7087,49.4114,2024-03-01 00:18:00+00:00,8.7128,49.4099,14000,40,40,14000
5920,2024-03-01 00:09:00+00:00,8.7086,49.4113,2024-03-01 00:18:00+00:00,8.713,49.41,44000,97,96,44000
4390,2024-03-01 00:09:00+00:00,8.6416,49.4123,2024-03-01 00:15:00+00:00,8.652,49.4104,6000,26,24,5000
9728,2024-03-01 00:30:00+00:00,8.6431,49.3943,2024-03-01 00:39:00+00:00,8.6414,49.4112,32000,74,72,31000
6957,2024-03-01 00:33:00+00:00,8.6831,49.428,2024-03-01 00:39:00+00:00,8.6811,49.4322,44000,96,96,44000
1015,2024-03-01 00:42:00+00:00,8.6756,49.4048,2024-03-01 00:48:00+00:00,8.6829,49.4051,16000,44,44,16000
5899,2024-03-01 00:42:00+00:00,8.6901,49.4086,2024-03-01 00:51:00+00:00,8.6767,49.4047,11000,34,32,10000
12468,2024-03-01 00:45:00+00:00,8.6759,49.418,2024-03-01 00:57:00+00:00,8.6804,49.4213,46000,100,98,45000
136,2024-03-01 00:51:00+00:00,8.6401,49.4016,2024-03-01 00:57:00+00:00,8.6468,49.4011,29000,69,69,29000
8648,2024-03-01 00:51:00+00:00,8.6721,49.409,2024-03-01 01:00:00+00:00,8.7069,49.4128,44000,97,90,41000
6644,2024-03-01 01:06:00+00:00,8.6861,49.414,2024-03-01 01:15:00+00:00,8.6674,49.4129,31000,72,70,30000
5184,2024-03-01 01:06:00+00:00,8.6861,49.414,2024-03-01 01:18:00+00:00,8.6674,49.413,17000,45,42,15000
5899,2024-03-01 01:36:00+00:00,8.6765,49.4047,2024-03-01 02:00:00+00:00,8.6767,49.4046,9000,31,20,3000
1420,2024-03-01 01:42:00+00:00,8.6764,49.418,2024-03-01 01:51:00+00:00,8.6824,49.4317,41000,90,87,39000
2956,2024-03-01 01:45:00+00:00,8.6923,49.4028,2024-03-01 01:54:00+00:00,8.6902,49.4087,8000,29,28,8000
8988,2024-03-01 01:45:00+00:00,8.6917,49.4032,2024-03-01 01:54:00+00:00,8.6905,49.4085,16000,43,43,16000
6178,2024-03-01 01:48:00+00:00,8.69,49.4088,2024-03-01 02:15:00+00:00,8.6747,49.3861,46000,100,91,41000
10008,2024-03-01 01:48:00+00:00,8.7099,49.4115,2024-03-01 02:12:00+00:00,8.7201,49.4125,33000,75,61,25000
12585,2024-03-01 01:57:00+00:00,8.6922,49.4007,2024-03-01 02:09:00+00:00,8.7119,49.4113,30000,70,62,26000
3773,2024-03-01 02:18:00+00:00,8.7003,49.4096,2024-03-01 02:30:00+00:00,8.6779,49.4047,34000,78,76,33000
