vehicle_id,timestamp_lend,lng_lend,lat_lend,timestamp_returned,lng_returned,lat_returned,current_range_meters_lend,pedelec_battery_lend,pedelec_battery_returned,current_range_meters_returned
12230,2024-03-04 00:00:00+00:00,8.6695,49.4063,2024-03-04 00:06:00+00:00,8.6694,49.4069,2000,17,100,46000
3777,2024-03-04 00:09:00+00:00,8.6702,49.403,2024-03-04 00:15:00+00:00,8.6757,49.4026,46000,100,100,46000
3280,2024-03-04 00:09:00+00:00,8.6613,49.4066,2024-03-04 00:21:00+00:00,8.6876,49.4142,40000,89,80,35000
4959,2024-03-04 00:12:00+00:00,8.683,49.3797,2024-03-04 00:30:00+00:00,8.683,49.3797,1000,16,16,1000
2702,2024-03-04 00:18:00+00:00,8.6785,49.4025,2024-03-04 00:24:00+00:00,8.6786,49.4025,2000,17,100,46000
4193,2024-03-04 00:21:00+00:00,8.6936,49.4088,2024-03-04 00:30:00+00:00,8.706,49.4131,40000,89,83,37000
831,2024-03-04 00:27:00+00:00,8.6858,49.4004,2024-03-04 00:33:00+00:00,8.6858,49.4004,3000,20,100,46000
5696,2024-03-04 00:33:00+00:00,8.6772,49.4049,2024-03-04 01:21:00+00:00,8.6712,49.4062,46000,100,81,36000
6572,2024-03-04 00:36:00+00:00,8.677,49.4038,2024-03-04 01:27:00+00:00,8.6711,49.4064,44000,97,72,31000
4959,2024-03-04 00:39:00+00:00,8.683,49.3797,2024-03-04 00:45:00+00:00,8.6881,49.3835,1000,16,16,1000
12823,2024-03-04 00:39:00+00:00,8.6779,49.4048,2024-03-04 00:51:00+00:00,8.6844,49.4342,15000,42,32,10000
5899,2024-03-04 00:48:00+00:00,8.6852,49.4004,2024-03-04 01:00:00+00:00,8.6923,49.4141,43000,95,90,41000
4959,2024-03-04 00:48:00+00:00,8.6881,49.3835,2024-03-05 08:30:00+00:00,8.688,49.3839,1000,16,100,46000
7225,2024-03-04 01:09:00+00:00,8.6921,49.4041,2024-03-04 01:15:00+00:00,8.6924,49.4043,1000,16,99,45000
6298,2024-03-04 01:39:00+00:00,8.6786,49.4119,2024-03-05 10:12:00+00:00,8.6752,49.3859,3000,20,0,0
7933,2024-03-04 01:51:00+00:00,8.6396,49.4017,2024-03-04 01:57:00+00:00,8.6396,49.4017,4000,21,21,4000
10782,2024-03-04 02:00:00+00:00,8.6895,49.399,2024-03-04 02:12:00+00:00,8.6739,49.4054,40000,89,86,39000
6248,2024-03-04 02:33:00+00:00,8.684,49.3791,2024-03-04 02:48:00+00:00,8.6757,49.4025,40000,88,80,35000
8910,2024-03-04 02:42:00+00:00,8.6588,49.3812,2024-03-04 03:00:00+00:00,8.6737,49.4061,33000,76,69,29000
11867,2024-03-04 03:33:00+00:00,8.6935,49.3778,2024-03-04 06:51:00+00:00,8.6934,49.3779,24000,58,58,24000
2250,2024-03-04 03:33:00+00:00,8.6911,49.3795,2024-03-04 03:45:00+00:00,8.6786,49.3894,4000,22,16,1000
8163,2024-03-04 03:39:00+00:00,8.6467,49.4286,2024-03-04 03:57:00+00:00,8.6395,49.4017,25000,61,53,21000
8403,2024-03-04 04:00:00+00:00,8.6761,49.3861,2024-03-04 04:21:00+00:00,8.686,49.3938,36000,82,79,35000
10200,2024-03-04 04:18:00+00:00,8.6853,49.3813,2024-03-04 04:24:00+00:00,8.6756,49.3789,4000,21,20,3000
1090,2024-03-04 04:24:00+00:00,8.6926,49.4024,2024-03-04 04:42:00+00:00,8.6766,49.4043,45000,99,98,45000
1455,2024-03-04 04:45:00+00:00,8.6899,49.4056,2024-03-04 04:57:00+00:00,8.6765,49.4042,37000,84,82,36000
924,2024-03-04 04:45:00+00:00,8.6967,49.4089,2024-03-04 04:57:00+00:00,8.6873,49.3903,46000,100,99,45000
11448,2024-03-04 04:45:00+00:00,8.6825,49.388,2024-03-04 04:51:00+00:00,8.6804,49.3843,46000,100,100,46000
