vehicle_id,timestamp_lend,lng_lend,lat_lend,timestamp_returned,lng_returned,lat_returned,current_range_meters_lend,pedelec_battery_lend,pedelec_battery_returned,current_range_meters_returned
5359,2024-03-05 05:18:00+00:00,8.6923,49.4107,2024-03-05 05:24:00+00:00,8.6923,49.4107,46000,100,100,46000
1146,2024-03-05 05:27:00+00:00,8.6793,49.4302,2024-03-05 14:54:00+00:00,8.6802,49.4301,1000,16,100,46000
5063,2024-03-05 05:27:00+00:00,8.6782,49.3737,2024-03-05 06:03:00+00:00,8.68,49.3973,15000,42,34,11000
11977,2024-03-05 05:33:00+00:00,8.6757,49.38,2024-03-05 05:51:00+00:00,8.6943,49.4065,28000,66,57,23000
10898,2024-03-05 05:36:00+00:00,8.6861,49.414,2024-03-05 05:48:00+00:00,8.6671,49.4201,5000,24,18,2000
8910,2024-03-05 05:36:00+00:00,8.6861,49.414,2024-03-05 05:48:00+00:00,8.6672,49.4201,17000,46,43,16000
11402,2024-03-05 05:39:00+00:00,8.6663,49.4145,2024-03-05 05:48:00+00:00,8.6905,49.4089,40000,88,83,37000
8967,2024-03-05 05:42:00+00:00,8.6844,49.4238,2024-03-05 05:51:00+00:00,8.6817,49.434,43000,94,92,42000
9534,2024-03-05 05:42:00+00:00,8.6805,49.3732,2024-03-05 05:57:00+00:00,8.6761,49.3805,16000,44,44,16000
11503,2024-03-05 05:42:00+00:00,8.6897,49.4214,2024-03-05 06:00:00+00:00,8.6614,49.4185,42000,92,89,40000
11349,2024-03-05 05:45:00+00:00,8.6767,49.3742,2024-03-05 06:03:00+00:00,8.6767,49.3742,46000,100,100,46000
2667,2024-03-05 05:48:00+00:00,8.6915,49.4015,2024-03-05 05:57:00+00:00,8.6861,49.3909,20000,52,50,19000
1770,2024-03-05 05:51:00+00:00,8.6758,49.4025,2024-03-05 06:03:00+00:00,8.6753,49.402,16000,44,43,16000
12454,2024-03-05 05:54:00+00:00,8.6644,49.4088,2024-03-05 06:15:00+00:00,8.6768,49.4052,40000,89,84,37000
8187,2024-03-05 05:57:00+00:00,8.6445,49.3988,2024-03-05 06:15:00+00:00,8.675,49.3967,33000,75,71,31000
10083,2024-03-05 05:57:00+00:00,8.6891,49.3988,2024-03-05 06:03:00+00:00,8.6887,49.4025,40000,89,89,40000
11616,2024-03-05 05:57:00+00:00,8.6859,49.4074,2024-03-05 06:03:00+00:00,8.677,49.4052,20000,52,52,20000
6818,2024-03-05 05:57:00+00:00,8.6507,49.4247,2024-03-05 06:09:00+00:00,8.6416,49.4122,42000,93,84,37000
7100,2024-03-05 06:00:00+00:00,8.6891,49.4056,2024-03-05 06:15:00+00:00,8.6673,49.4179,29000,68,60,25000
11616,2024-03-05 06:03:00+00:00,8.677,49.4052,2024-03-05 06:18:00+00:00,8.6714,49.4133,20000,52,46,17000
11933,2024-03-05 06:03:00+00:00,8.6647,49.3836,2024-03-05 09:30:00+00:00,8.675,49.3789,3000,20,99,45000
8130,2024-03-05 06:09:00+00:00,8.6892,49.4056,2024-03-05 06:18:00+00:00,8.7049,49.4095,6000,25,22,4000
11503,2024-03-05 06:09:00+00:00,8.6614,49.4185,2024-03-05 06:15:00+00:00,8.6653,49.4196,40000,88,88,40000
3777,2024-03-05 06:12:00+00:00,8.6814,49.3764,2024-03-05 06:18:00+00:00,8.687,49.377,37000,83,82,36000
